"Аксарайская II",3,"Приволжская",617007,"Аксарайская-5, Кигаш-36",,
"Аксариха","Б ","Свердловская",792831,"Богданович-62, Тюмень-165",,
"Аксениха (ОБП.)","О ","Западно-Сибирская",835933,"Осолодино-61, Среднесибирская-329",,
"Аксеново","Б ","Куйбышевская",656752,"Кинель-329, Чишмы-106",,
"Актай (рзд.)","О ","Свердловская",774015,"Гороблагодатская-116, Серов-Сортировочный-82",,
"Акташ","О 3","Куйбышевская",648005,"Акбаш-89, Агрыз-212",,
"Аку (рзд.)","О ","Восточно-Сибирская",906537,"Лена-786, Новый Ургал-1793",,
"Акуличи (ОП.)","Б ","Московская",178557,,,
"Акулово","О 3","Московская",180108,"Бекасово I-16, Кубинка I-10",,
"Акульшет","О ","Восточно-Сибирская",920040,"Тайшет-10, Лена-710",,
"Акур (рзд.)","О 1,3","Дальневосточная",966909,"Комсомольск-Сортировочный-337, Ванино-116",,
"Акчуринский (ОП.)","О ","Куйбышевская",642511,,,
"Алабино (ОП.)","О ","Московская",181028,,,
"Алабушево (ОП.)","О ","Октябрьская",60618,,,
"Алагир","1,3","Северо-Кавказская",538407,"Прохладная-90",,
"Алагир (эксп.)",,"Северо-Кавказская",538905,"Прохладная-90",,
"Алакуль (ОП.)","Б ","Южно-Уральская",829434,,,
"Алакуртти","П 1","Октябрьская",14709,"Беломорск-454, Кандалакша-127",,
"Алалампи (ОП.)","О ","Октябрьская",25135,,,
"Аламбай","Б ","Западно-Сибирская",841826,"Алтайская-171, Артышта I-29",,
"Аланап","О ","Дальневосточная",917715,"Новый Ургал-191, Известковая-156",,
"Алань",3,"Куйбышевская",648306,"Акбаш-185, Агрыз-162",,
"Алань (эксп.)",,"Куйбышевская",649101,"ТП",,
"Алапаевск","Б 3","Свердловская",786506,"ТП",,
"Ала-Тау","О ","Красноярская",886634,"Томусинская-176, Тигей-151",,
"Алатту (ОП.)","О ","Октябрьская",26227,,,
